network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,12450,,0.21335528,0.00002088,0.00000789,7
0,12500,,0.21335448,0.00002060,0.00000779,7
0,12550,,0.21335350,0.00002047,0.00000774,7
0,12600,,0.21335254,0.00002060,0.00000779,7
0,12650,,0.21335194,0.00002068,0.00000782,7
0,12700,,0.21335140,0.00002040,0.00000771,7
0,12750,,0.21335046,0.00002004,0.00000757,7
0,12800,,0.21334952,0.00002011,0.00000760,7
0,12850,,0.21334860,0.00002046,0.00000773,7
0,12900,,0.21334800,0.00002055,0.00000777,7
0,12950,,0.21334711,0.00002070,0.00000782,7
0,13000,,0.21334654,0.00002101,0.00000794,7
0,13050,,0.21334579,0.00002144,0.00000810,7
0,13100,,0.21334505,0.00002176,0.00000822,7
0,13150,,0.21334418,0.00002241,0.00000847,7
0,13200,,0.21334367,0.00002257,0.00000853,7
0,13250,,0.21334311,0.00002287,0.00000864,7
0,13300,,0.21334251,0.00002315,0.00000875,7
0,13350,,0.21334156,0.00002357,0.00000891,7
0,13400,,0.21334058,0.00002392,0.00000904,7
0,13450,,0.21333953,0.00002432,0.00000919,7
0,13500,,0.21333854,0.00002469,0.00000933,7
0,13550,,0.21333770,0.00002488,0.00000940,7
0,13600,,0.21333656,0.00002503,0.00000946,7
0,13650,,0.21333571,0.00002508,0.00000948,7
0,13700,,0.21333459,0.00002495,0.00000943,7
0,13750,,0.21333355,0.00002455,0.00000928,7
0,13768,,0.21331210,0.00000000,0.00000000,1
0,13800,,0.21333621,0.00002476,0.00001011,6
0,13850,,0.21333504,0.00002476,0.00001011,6
0,13900,,0.21333410,0.00002449,0.00001000,6
0,13950,,0.21333286,0.00002456,0.00001003,6
0,14000,,0.21333170,0.00002445,0.00000998,6
0,14050,,0.21333068,0.00002462,0.00001005,6
0,14082,,0.21331209,0.00000000,0.00000000,1
0,14100,,0.21333335,0.00002568,0.00001149,5
0,14150,,0.21333239,0.00002592,0.00001159,5
0,14172,,0.21331209,0.00000000,0.00000000,1
0,14200,,0.21333673,0.00002749,0.00001375,4
0,14250,,0.21333603,0.00002797,0.00001398,4
0,14281,,0.21331210,0.00000000,0.00000000,1
0,14300,,0.21334326,0.00002911,0.00001681,3
0,14350,,0.21334276,0.00002996,0.00001730,3
0,14400,,0.21334234,0.00003054,0.00001763,3
0,14404,,0.21331209,0.00000000,0.00000000,1
0,14450,,0.21335701,0.00002336,0.00001652,2
0,14500,,0.21335681,0.00002480,0.00001754,2
0,14550,,0.21335654,0.00002632,0.00001861,2
0,14600,,0.21335596,0.00002780,0.00001966,2
0,14650,,0.21335548,0.00002890,0.00002043,2
0,14700,,0.21335500,0.00003046,0.00002154,2
0,14750,,0.21335503,0.00003100,0.00002192,2
0,14800,,0.21335450,0.00003242,0.00002293,2
0,14850,,0.21335396,0.00003384,0.00002393,2
0,14900,,0.21335360,0.00003470,0.00002453,2
0,14950,,0.21335352,0.00003505,0.00002479,2
0,15000,,0.21335329,0.00003640,0.00002574,2
0,15050,,0.21335300,0.00003737,0.00002643,2
0,15100,,0.21335260,0.00003832,0.00002710,2
0,15150,,0.21335163,0.00003890,0.00002751,2
0,15200,,0.21335109,0.00003888,0.00002749,2
0,15250,,0.21335018,0.00003901,0.00002759,2
0,15300,,0.21334927,0.00003915,0.00002768,2
0,15350,,0.21334874,0.00003922,0.00002773,2
0,15400,,0.21334799,0.00003943,0.00002788,2
0,15450,,0.21334704,0.00003937,0.00002784,2
0,15500,,0.21334675,0.00003934,0.00002782,2
0,15550,,0.21334656,0.00003916,0.00002769,2
0,15600,,0.21334603,0.00003923,0.00002774,2
0,15650,,0.21334539,0.00003918,0.00002770,2
0,15700,,0.21334467,0.00003926,0.00002776,2
0,15750,,0.21334418,0.00003921,0.00002772,2
0,15800,,0.21334395,0.00003916,0.00002769,2
0,15850,,0.21334348,0.00003975,0.00002811,2
0,15900,,0.21334303,0.00004031,0.00002850,2
0,15950,,0.21334257,0.00004038,0.00002856,2
0,16000,,0.21334211,0.00004121,0.00002914,2
0,16050,,0.21334162,0.00004155,0.00002938,2
0,16056,,0.21331211,0.00000000,0.00000000,1
0,16100,,0.21337085,0.00000000,0.00000000,1
0,16150,,0.21337060,0.00000000,0.00000000,1
0,16200,,0.21337070,0.00000000,0.00000000,1
0,16250,,0.21337078,0.00000000,0.00000000,1
0,16300,,0.21337138,0.00000000,0.00000000,1
0,16350,,0.21337139,0.00000000,0.00000000,1
0,16400,,0.21337102,0.00000000,0.00000000,1
0,16450,,0.21337114,0.00000000,0.00000000,1
0,16500,,0.21337098,0.00000000,0.00000000,1
0,16550,,0.21337079,0.00000000,0.00000000,1
0,16600,,0.21337048,0.00000000,0.00000000,1
0,16650,,0.21337001,0.00000000,0.00000000,1
0,16700,,0.21336972,0.00000000,0.00000000,1
0,16750,,0.21336936,0.00000000,0.00000000,1
0,16800,,0.21336882,0.00000000,0.00000000,1
0,16850,,0.21336823,0.00000000,0.00000000,1
0,16900,,0.21336754,0.00000000,0.00000000,1
0,16950,,0.21336652,0.00000000,0.00000000,1
0,17000,,0.21336560,0.00000000,0.00000000,1
0,17050,,0.21336489,0.00000000,0.00000000,1
0,17100,,0.21336362,0.00000000,0.00000000,1
0,17150,,0.21336214,0.00000000,0.00000000,1
0,17200,,0.21336130,0.00000000,0.00000000,1
0,17250,,0.21335996,0.00000000,0.00000000,1
0,17300,,0.21335917,0.00000000,0.00000000,1
0,17350,,0.21335799,0.00000000,0.00000000,1
0,17400,,0.21335662,0.00000000,0.00000000,1
0,17450,,0.21335554,0.00000000,0.00000000,1
0,17500,,0.21335423,0.00000000,0.00000000,1
0,17550,,0.21335336,0.00000000,0.00000000,1
0,17600,,0.21335218,0.00000000,0.00000000,1
0,17650,,0.21335108,0.00000000,0.00000000,1
0,17700,,0.21334981,0.00000000,0.00000000,1
