network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
21,21000,,0.00699704,0.00002082,0.00000659,10
21,21050,,0.00699696,0.00002082,0.00000659,10
21,21100,,0.00699689,0.00002084,0.00000659,10
21,21150,,0.00699681,0.00002086,0.00000660,10
21,21200,,0.00699671,0.00002087,0.00000660,10
21,21250,,0.00699662,0.00002086,0.00000660,10
21,21300,,0.00699657,0.00002081,0.00000658,10
21,21350,,0.00699649,0.00002073,0.00000655,10
21,21400,,0.00699638,0.00002061,0.00000652,10
21,21450,,0.00699629,0.00002051,0.00000649,10
21,21500,,0.00699618,0.00002036,0.00000644,10
21,21550,,0.00699610,0.00002021,0.00000639,10
21,21600,,0.00699602,0.00002008,0.00000635,10
21,21650,,0.00699599,0.00001997,0.00000631,10
21,21700,,0.00699593,0.00001988,0.00000629,10
21,21750,,0.00699587,0.00001981,0.00000626,10
21,21800,,0.00699582,0.00001979,0.00000626,10
21,21850,,0.00699573,0.00001976,0.00000625,10
21,21900,,0.00699563,0.00001970,0.00000623,10
21,21950,,0.00699556,0.00001960,0.00000620,10
21,22000,,0.00699552,0.00001949,0.00000616,10
21,22050,,0.00699542,0.00001940,0.00000614,10
21,22100,,0.00699531,0.00001931,0.00000611,10
21,22150,,0.00699520,0.00001925,0.00000609,10
21,22200,,0.00699509,0.00001919,0.00000607,10
21,22250,,0.00699501,0.00001913,0.00000605,10
21,22300,,0.00699493,0.00001907,0.00000603,10
21,22350,,0.00699485,0.00001901,0.00000601,10
21,22400,,0.00699475,0.00001896,0.00000600,10
21,22450,,0.00699459,0.00001893,0.00000599,10
21,22500,,0.00699442,0.00001890,0.00000598,10
21,22550,,0.00699427,0.00001889,0.00000597,10
21,22600,,0.00699413,0.00001889,0.00000597,10
21,22650,,0.00699402,0.00001893,0.00000599,10
21,22700,,0.00699396,0.00001897,0.00000600,10
21,22750,,0.00699389,0.00001899,0.00000600,10
21,22800,,0.00699382,0.00001897,0.00000600,10
21,22850,,0.00699377,0.00001895,0.00000599,10
21,22900,,0.00699370,0.00001896,0.00000600,10
21,22950,,0.00699363,0.00001898,0.00000600,10
21,23000,,0.00699354,0.00001895,0.00000599,10
21,23050,,0.00699343,0.00001892,0.00000598,10
21,23100,,0.00699334,0.00001881,0.00000595,10
21,23150,,0.00699332,0.00001877,0.00000593,10
21,23200,,0.00699330,0.00001871,0.00000592,10
21,23250,,0.00699325,0.00001868,0.00000591,10
21,23300,,0.00699317,0.00001865,0.00000590,10
21,23350,,0.00699307,0.00001861,0.00000589,10
21,23400,,0.00699302,0.00001853,0.00000586,10
21,23450,,0.00699298,0.00001849,0.00000585,10
21,23500,,0.00699294,0.00001847,0.00000584,10
21,23550,,0.00699290,0.00001843,0.00000583,10
21,23600,,0.00699281,0.00001835,0.00000580,10
21,23650,,0.00699274,0.00001829,0.00000578,10
21,23700,,0.00699267,0.00001828,0.00000578,10
21,23750,,0.00699258,0.00001827,0.00000578,10
