tag,network_id,n_controls,total_Q,rho,samples,GI_GI,GR_GI,GI_GI_over_GR_GI
rw_b10r5,14,25,25,5.0,10,0.09092665,0.45719664,0.19887865
rw_b10r5,15,10,10,5.0,10,0.00286172,0.01027884,0.27840885
rw_b10r5,16,23,23,5.0,10,0.00036636,0.00153603,0.23851097
rw_b10r5,17,34,34,5.0,10,0.00037971,0.00131159,0.28950358
rw_b10r5,18,22,22,5.0,10,0.01493231,0.08400229,0.17776075
rw_b10r5,19,23,23,5.0,10,0.00074716,0.00148420,0.50340924
rw_b10r5,20,30,30,5.0,10,0.67776310,0.99989361,0.67783521
rw_b10r5,21,16,16,5.0,10,0.00199889,0.00362247,0.55180305
rw_b10r5,22,27,27,5.0,10,0.01421890,0.03518174,0.40415568
rw_b1r1,0,7,26,1.0,1,0.31436895,0.36050435,0.87202540
rw_b1r1,1,8,29,1.0,1,0.35645606,0.41070521,0.86791219
rw_b1r1,2,11,43,1.0,1,0.87277769,0.99990403,0.87286146
rw_b1r1,3,11,11,1.0,1,0.00019225,0.00019225,1.00000000
rw_b1r1,4,12,37,1.0,1,0.66979349,0.96757860,0.69223678
rw_b1r1,5,18,18,1.0,1,0.00764712,0.01021797,0.74839914
rw_b1r1,6,45,45,1.0,1,0.63979517,0.69903686,0.91525241
rw_b1r1,7,25,25,1.0,1,0.00096452,0.00096452,1.00000000
rw_b1r1,8,9,9,1.0,1,0.00501999,0.00620365,0.80919942
rw_b1r1,9,27,27,1.0,1,0.00875434,0.01304375,0.67115208
rw_b1r1,10,6,6,1.0,1,0.00000072,0.00000072,1.00000000
rw_b1r1,11,21,21,1.0,1,0.00795283,0.00896988,0.88661498
rw_b1r1,12,22,22,1.0,1,0.07157843,0.11807521,0.60621048
rw_b1r1,13,53,53,1.0,1,0.00000000,0.00000000,nan
rw_b1r1,14,25,25,1.0,1,0.33384371,0.47292093,0.70591866
rw_b1r1,15,10,10,1.0,1,0.01490248,0.02132042,0.69897685
rw_b1r1,16,23,23,1.0,1,0.00158909,0.00214706,0.74012370
rw_b1r1,17,34,34,1.0,1,0.00134391,0.00174427,0.77047131
rw_b1r1,18,22,22,1.0,1,0.07157843,0.11807521,0.60621048
rw_b1r1,19,23,23,1.0,1,0.00247668,0.00285015,0.86896479
rw_b1r1,20,30,30,1.0,1,0.91848097,0.99994056,0.91853557
rw_b1r1,21,16,16,1.0,1,0.00711151,0.00845948,0.84065569
rw_b1r1,22,27,27,1.0,1,0.08594194,0.14405213,0.59660305
rw_b1r10,0,7,26,10.0,1,0.00004630,0.00046200,0.10021645
rw_b1r10,1,8,29,10.0,1,0.00004944,0.01915408,0.00258117
rw_b1r10,2,11,43,10.0,1,0.28319916,0.99942423,0.28336231
rw_b1r10,3,11,11,10.0,1,0.00001927,0.00001927,1.00000000
rw_b1r10,4,12,37,10.0,1,0.06197919,0.81946760,0.07563348
rw_b1r10,5,18,18,10.0,1,0.00072194,0.00304928,0.23675753
rw_b1r10,6,45,45,10.0,1,0.15330231,0.23340543,0.65680696
rw_b1r10,7,25,25,10.0,1,0.00015166,0.00027903,0.54352579
rw_b1r10,8,9,9,10.0,1,0.00043560,0.00120088,0.36273400
rw_b1r10,9,27,27,10.0,1,0.00067060,0.00582807,0.11506382
rw_b1r10,10,6,6,10.0,1,0.00000004,0.00000004,1.00000000
rw_b1r10,11,21,21,10.0,1,0.00034478,0.00064897,0.53127263
rw_b1r10,12,22,22,10.0,1,0.00540647,0.06088027,0.08880496
rw_b1r10,13,53,53,10.0,1,0.00000000,0.00000000,nan
rw_b1r10,14,25,25,10.0,1,0.03354951,0.19378602,0.17312658
rw_b1r10,15,10,10,10.0,1,0.00070527,0.00486421,0.14499168
rw_b1r10,16,23,23,10.0,1,0.00013174,0.00108005,0.12197583
