source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b100r5,40,14,45,456.343038,1986.870953,234500,254500,227,97,2.3402,195.0012
b100r5,41,12,30,14.186042,79.339974,13819,14058,133,106,1.2547,11.3062
b100r5,42,14,36,15.066437,106.243576,11780,11715,162,141,1.1489,13.1134
b100r5,43,15,45,421.378959,2034.155311,244768,277500,227,174,1.3046,322.9953
b10r10,0,13,46,0.008808,0.022758,5,7,182,75,2.4267,0.0036
b10r10,1,14,45,41.220107,52.520587,24980,25592,193,115,1.6783,24.5612
b10r10,2,13,31,38.845880,52.500165,34093,37323,116,96,1.2083,32.1483
b10r10,3,12,43,523.144061,227.777991,247561,254453,162,100,1.6200,322.9284
b10r10,4,14,47,443.652627,254.212589,198771,191748,195,118,1.6525,268.4667
b10r10,5,15,39,0.112361,0.212654,83,95,171,86,1.9884,0.0565
b10r10,6,14,46,21.420030,19.783707,13831,11878,202,134,1.5075,14.2093
b10r10,7,12,31,0.553559,1.036757,601,755,130,94,1.3830,0.4003
b10r10,8,14,49,37.913393,46.225213,20575,25551,218,159,1.3711,27.6524
b10r10,9,10,23,0.271763,0.394703,378,502,87,59,1.4746,0.1843
b10r10,10,12,38,455.142458,260.237715,242500,272000,204,80,2.5500,178.4872
b10r10,11,11,36,27.357458,18.549807,20591,21091,129,93,1.3871,19.7228
b10r10,12,14,45,0.144410,0.325973,100,127,199,100,1.9900,0.0726
b10r10,13,12,35,126.319117,59.395783,77482,79538,160,96,1.6667,75.7915
b10r10,14,14,34,0.086417,0.215539,83,113,150,76,1.9737,0.0438
b10r10,15,14,45,0.242949,0.387927,169,203,238,97,2.4536,0.0990
b10r10,16,10,27,14.973117,19.565200,13935,16074,96,71,1.3521,11.0739
b10r10,17,12,37,21.686205,13.792363,14221,13978,149,120,1.2417,17.4654
b10r10,18,10,20,252.767026,30.763026,240500,76500,84,37,2.2703,111.3379
b10r10,19,10,32,0.770006,2.655197,701,1886,116,77,1.5065,0.5111
b10r10,20,10,24,196.983532,136.459166,171474,181270,96,70,1.3714,143.6338
b10r10,21,11,25,63.876979,45.935475,58534,77770,93,57,1.6316,39.1504
b10r10,22,13,42,1.496238,2.628228,1128,1288,181,138,1.3116,1.1408
b10r10,23,14,37,0.019689,0.030751,16,14,159,83,1.9157,0.0103
b10r10,24,11,36,0.063041,0.185934,52,138,132,66,2.0000,0.0315
b10r10,25,31,129,218.253964,386.765369,37987,49146,961,402,2.3905,91.2987
b10r10,26,41,111,2285.299712,1324.937448,327500,292500,893,340,2.6265,870.1029
b10r10,27,43,150,4.181310,8.607799,650,755,1040,625,1.6640,2.5128
b10r10,28,44,144,2432.899680,906.766579,214000,237500,1145,614,1.8648,1304.6292
b10r10,29,38,148,0.857056,2.097054,155,173,1142,495,2.3071,0.3715
b10r10,30,44,100,45.311399,54.420544,10777,15752,702,416,1.6875,26.8512
b10r10,31,35,150,728.903511,941.446186,94833,99336,1263,702,1.7991,405.1388
b10r10,32,43,102,1688.001993,1031.348257,346000,353500,772,432,1.7870,944.5814
b10r10,33,37,122,1686.586969,941.884190,254040,283409,861,500,1.7220,979.4349
b10r10,34,32,117,1702.304937,993.727319,287120,293680,753,539,1.3970,1218.5158
b10r10,35,42,133,6.643057,3.042417,1160,990,1059,460,2.3022,2.8856
b10r10,36,31,113,89.141731,173.726604,21372,22810,640,506,1.2648,70.4777
b10r10,37,41,116,101.466440,131.701380,21260,29022,939,695,1.3511,75.1003
b10r10,38,42,126,5.730455,15.184818,1220,1965,928,518,1.7915,3.1987
b10r10,39,13,42,0.089639,0.153591,62,94,196,145,1.3517,0.0663
b10r10,40,14,45,113.684053,124.479773,56562,59179,227,97,2.3402,48.5786
b10r10,41,12,30,5.870969,5.568667,5530,4053,133,106,1.2547,4.6791
b10r10,42,14,36,10.003832,13.721079,7695,8591,162,141,1.1489,8.7070
b10r10,43,15,45,68.053894,91.812185,39171,47067,227,174,1.3046,52.1647
b10r1,0,13,46,0.961069,2.229622,873,1149,182,75,2.4267,0.3960
b10r1,1,14,45,178.897371,183.624465,132500,130000,193,115,1.6783,106.5969
b10r1,2,13,31,126.242869,163.855492,120000,131500,116,96,1.2083,104.4769
b10r1,3,12,43,201.511665,86.093572,82500,98000,162,100,1.6200,124.3899
b10r1,4,14,47,252.445614,107.146988,100500,87000,195,118,1.6525,152.7620
b10r1,5,15,39,0.732460,10.034709,631,4979,171,86,1.9884,0.3684
b10r1,6,14,46,84.334629,215.471849,64410,158568,202,134,1.5075,55.9448
b10r1,7,12,31,1.560868,29.868109,1892,24660,130,94,1.3830,1.1286
b10r1,8,14,49,102.013549,222.680238,59925,136496,218,159,1.3711,74.4044
b10r1,9,10,23,1.338454,2.904781,2230,4284,87,59,1.4746,0.9077
b10r1,10,12,38,125.968889,40.542182,60000,48500,204,80,2.5500,49.3996
b10r1,11,11,36,157.183100,91.252271,111000,108500,129,93,1.3871,113.3180
b10r1,12,14,45,1.508465,3.000856,1105,1384,199,100,1.9900,0.7580
b10r1,13,12,35,85.696007,31.630565,49500,43000,160,96,1.6667,51.4176
b10r1,14,14,34,0.780449,3.132816,797,1855,150,76,1.9737,0.3954
b10r1,15,14,45,5.069506,40.885412,3825,29370,238,97,2.4536,2.0661
b10r1,16,10,27,93.457752,37.021303,102371,41223,96,71,1.3521,69.1198
b10r1,17,12,37,110.552350,101.354769,74213,110154,149,120,1.2417,89.0354
b10r1,18,10,20,60.046058,18.503882,56500,45500,84,37,2.2703,26.4489
b10r1,19,10,32,0.573852,5.610694,715,6054,116,77,1.5065,0.3809
b10r1,20,10,24,95.284882,60.989461,84500,84000,96,70,1.3714,69.4786
b10r1,21,11,25,86.966690,36.090406,79000,64000,93,57,1.6316,53.3022
b10r1,22,13,42,6.210952,79.408399,5334,49697,181,138,1.3116,4.7354
b10r1,23,14,37,0.664370,2.863030,666,2022,159,83,1.9157,0.3468
b10r1,24,11,36,1.642206,1.123675,1636,1244,132,66,2.0000,0.8211
