source,network_id,n_controls,total_Q,binary_work,nary_work,work_speedup,runtime_exact_s,iters_exact,est_nary_runtime_s
b100r1,26,41,111,893,340,2.6265,648.129863,99000,246.7684
b100r1,27,43,150,1040,625,1.6640,51.221025,9155,30.7819
b100r1,28,44,144,1145,614,1.8648,860.154238,63500,461.2530
b100r1,29,38,148,1142,495,2.3071,4.613193,892,1.9996
b100r1,30,44,100,702,416,1.6875,241.035525,56717,142.8359
b100r1,31,35,150,1263,702,1.7991,1128.180471,128500,627.0647
b100r1,32,43,102,772,432,1.7870,577.640750,104500,323.2394
b100r1,33,37,122,861,500,1.7220,904.529371,138500,525.2784
b100r1,34,32,117,753,539,1.3970,654.134980,110000,468.2321
b100r1,35,42,133,1059,460,2.3022,3.418025,551,1.4847
b100r1,36,31,113,640,506,1.2648,529.313155,129000,418.4882
b100r1,37,41,116,939,695,1.3511,542.328519,107442,401.4040
b100r1,38,42,126,928,518,1.7915,12.337159,2960,6.8865
b100r1,39,13,42,196,145,1.3517,2.623120,2313,1.9406
b100r1,40,14,45,227,97,2.3402,175.118792,88000,74.8305
b100r1,41,12,30,133,106,1.2547,35.263372,39250,28.1046
b100r1,42,14,36,162,141,1.1489,49.672025,39306,43.2331
b100r1,43,15,45,227,174,1.3046,161.581967,94000,123.8558
b100r5,0,13,46,182,75,2.4267,0.099501,85,0.0410
b100r5,1,14,45,193,115,1.6783,353.412379,225338,210.5825
b100r5,2,13,31,116,96,1.2083,193.864401,154500,160.4395
b100r5,3,12,43,162,100,1.6200,706.920037,264000,436.3704
b100r5,4,14,47,195,118,1.6525,713.039455,288000,431.4803
b100r5,5,15,39,171,86,1.9884,0.409258,323,0.2058
b100r5,6,14,46,202,134,1.5075,72.896922,47455,48.3574
b100r5,7,12,31,130,94,1.3830,1.299997,1484,0.9400
b100r5,8,14,49,218,159,1.3711,69.333445,38113,50.5689
b100r5,9,10,23,87,59,1.4746,0.654272,1056,0.4437
b100r5,10,12,38,204,80,2.5500,303.000445,145500,118.8237
b100r5,11,11,36,129,93,1.3871,105.541520,72477,76.0881
b100r5,12,14,45,199,100,1.9900,0.639938,464,0.3216
b100r5,13,12,35,160,96,1.6667,276.539712,159500,165.9238
b100r5,14,14,34,150,76,1.9737,0.401345,377,0.2033
b100r5,15,14,45,238,97,2.4536,0.967870,731,0.3945
b100r5,16,10,27,96,71,1.3521,53.393885,50305,39.4892
b100r5,17,12,37,149,120,1.2417,87.195721,56949,70.2247
b100r5,18,10,20,84,37,2.2703,130.759675,122500,57.5965
b100r5,19,10,32,116,77,1.5065,0.614048,757,0.4076
b100r5,20,10,24,96,70,1.3714,234.389459,208000,170.9090
b100r5,21,11,25,93,57,1.6316,143.795857,131000,88.1329
b100r5,22,13,42,181,138,1.3116,2.564386,2237,1.9552
b100r5,23,14,37,159,83,1.9157,0.109158,105,0.0570
b100r5,24,11,36,132,66,2.0000,0.257706,253,0.1289
b100r5,25,31,129,961,402,2.3905,1104.665635,190583,462.0974
b100r5,26,41,111,893,340,2.6265,1518.582032,229000,578.1835
b100r5,27,43,150,1040,625,1.6640,8.871130,1613,5.3312
b100r5,28,44,144,1145,614,1.8648,1705.482787,143500,914.5558
b100r5,29,38,148,1142,495,2.3071,2.647449,522,1.1475
b100r5,30,44,100,702,416,1.6875,188.544083,46196,111.7298
b100r5,31,35,150,1263,702,1.7991,3080.024775,378500,1711.9378
b100r5,32,43,102,772,432,1.7870,1183.606448,230000,662.3290
b100r5,33,37,122,861,500,1.7220,2258.169291,349500,1311.3643
b100r5,34,32,117,753,539,1.3970,1708.345334,293000,1222.8395
b100r5,35,42,133,1059,460,2.3022,6.072423,1041,2.6377
b100r5,36,31,113,640,506,1.2648,246.329832,59996,194.7545
b100r5,37,41,116,939,695,1.3511,420.418558,85904,311.1724
b100r5,38,42,126,928,518,1.7915,6.960576,1701,3.8853
b100r5,39,13,42,196,145,1.3517,0.516368,406,0.3820
b100r5,40,14,45,227,97,2.3402,456.343038,234500,195.0012
b100r5,41,12,30,133,106,1.2547,14.186042,13819,11.3062
b100r5,42,14,36,162,141,1.1489,15.066437,11780,13.1134
b100r5,43,15,45,227,174,1.3046,421.378959,244768,322.9953
b10r10,0,13,46,182,75,2.4267,0.008808,5,0.0036
b10r10,1,14,45,193,115,1.6783,41.220107,24980,24.5612
b10r10,2,13,31,116,96,1.2083,38.845880,34093,32.1483
b10r10,3,12,43,162,100,1.6200,523.144061,247561,322.9284
b10r10,4,14,47,195,118,1.6525,443.652627,198771,268.4667
b10r10,5,15,39,171,86,1.9884,0.112361,83,0.0565
b10r10,6,14,46,202,134,1.5075,21.420030,13831,14.2093
b10r10,7,12,31,130,94,1.3830,0.553559,601,0.4003
